cl_opinion_id,case_name,year,issue_area,times_cited,cites_made,community,in_giant,x,y,courtlistener_url
107708,,1968,Judicial Power,0,0,,0,200.0,1060,https://www.courtlistener.com/opinion/107708/x/
112239,,1989,Criminal Procedure,11,14,12,1,333.86,245.99,https://www.courtlistener.com/opinion/112239/x/
112230,,1989,Federalism,1,7,7,1,381.35,533.8,https://www.courtlistener.com/opinion/112230/x/
94337,,1896,Due Process,8,7,11,1,519.52,471.15,https://www.courtlistener.com/opinion/94337/x/
811779,,2012,Privacy,0,14,11,1,369.01,523.79,https://www.courtlistener.com/opinion/811779/x/
108104,,1970,First Amendment,5,3,1,1,396.82,215.54,https://www.courtlistener.com/opinion/108104/x/
108107,,1970,Federal Taxation,3,10,0,1,393.06,562.44,https://www.courtlistener.com/opinion/108107/x/
108100,,1970,Civil Rights,93,31,5,1,367.56,387.68,https://www.courtlistener.com/opinion/108100/x/
108102,,1970,Federal Taxation,11,5,2,1,431.62,352.85,https://www.courtlistener.com/opinion/108102/x/
108103,,1970,Federal Taxation,1,2,0,1,479.6,320.37,https://www.courtlistener.com/opinion/108103/x/
97802,,1913,Economic Activity,9,7,8,1,509.65,389.49,https://www.courtlistener.com/opinion/97802/x/
109855,,1978,Due Process,21,30,5,1,388.41,374.34,https://www.courtlistener.com/opinion/109855/x/
109857,,1978,Civil Rights,23,39,11,1,386.99,497.46,https://www.courtlistener.com/opinion/109857/x/
109856,,1978,Federalism,3,6,11,1,630.84,497.1,https://www.courtlistener.com/opinion/109856/x/
109859,,1978,Economic Activity,25,16,13,1,355.56,412.1,https://www.courtlistener.com/opinion/109859/x/
109858,,1978,Due Process,12,12,7,1,427.09,415.43,https://www.courtlistener.com/opinion/109858/x/
99914,,1922,Economic Activity,4,6,6,1,319.44,578.24,https://www.courtlistener.com/opinion/99914/x/
92600,,1889,Judicial Power,3,11,7,1,609.63,672.78,https://www.courtlistener.com/opinion/92600/x/
92601,,1889,Federal Taxation,3,0,11,1,167.23,578.06,https://www.courtlistener.com/opinion/92601/x/
92602,,1889,Interstate Relations,10,12,7,1,545.78,616.0,https://www.courtlistener.com/opinion/92602/x/
92603,,1889,Economic Activity,2,1,6,1,530.48,647.39,https://www.courtlistener.com/opinion/92603/x/
92245,,1888,Judicial Power,1,1,11,1,329.12,703.22,https://www.courtlistener.com/opinion/92245/x/
92605,,1889,Economic Activity,8,13,4,1,707.75,352.59,https://www.courtlistener.com/opinion/92605/x/
103706,,1942,Unions,7,0,13,1,488.4,245.8,https://www.courtlistener.com/opinion/103706/x/
103705,,1942,Economic Activity,28,31,1,1,441.8,372.72,https://www.courtlistener.com/opinion/103705/x/
103704,,1942,Unions,26,16,13,1,441.48,400.92,https://www.courtlistener.com/opinion/103704/x/
103703,,1942,Economic Activity,9,3,4,1,395.14,396.46,https://www.courtlistener.com/opinion/103703/x/
